author,traitName,mappedGenes
Mez J,Late-onset Alzheimer's disease,IRAK1BP1
Mez J,Late-onset Alzheimer's disease,CFAP74
Mez J,Late-onset Alzheimer's disease,CEP63
Mez J,Late-onset Alzheimer's disease,"RNU6-679P,CTNND2"
Mez J,Late-onset Alzheimer's disease,BICRA
Mez J,Late-onset Alzheimer's disease,FAM240B
Mez J,Late-onset Alzheimer's disease,SLMAP
Mez J,Late-onset Alzheimer's disease,AOX1
Mez J,Late-onset Alzheimer's disease,UNC93B4
Mez J,Late-onset Alzheimer's disease,CDH1
Mez J,Late-onset Alzheimer's disease,IQGAP2
Mez J,Late-onset Alzheimer's disease,"METTL21EP,SLC10A2"
Mez J,Late-onset Alzheimer's disease,TAFA5
Mez J,Late-onset Alzheimer's disease,"LINC02388,LRIG3"
Mez J,Late-onset Alzheimer's disease,"CALM3,GAPDHP38"
Mez J,Late-onset Alzheimer's disease,"USP10,KLHL36"
Mez J,Late-onset Alzheimer's disease,CIMAP3
Mez J,Late-onset Alzheimer's disease,"CEACAM16-AS1,IGSF23"
Mez J,Late-onset Alzheimer's disease,"TRABD-AS1,SELENOO"
Mez J,Late-onset Alzheimer's disease,"KRAS,RNU4-67P"
Mez J,Late-onset Alzheimer's disease,"CDCA7L,RAPGEF5"
Mez J,Late-onset Alzheimer's disease,"ZP3P2,TRPC6P8"
Mez J,Late-onset Alzheimer's disease,"ZNF90,BNIP3P13"
Mez J,Late-onset Alzheimer's disease,"ATP6V0E2,ACTR3C"
Mez J,Late-onset Alzheimer's disease,"CYRIA,LINC01866"
Mez J,Late-onset Alzheimer's disease,SYNGAP1
Mez J,Late-onset Alzheimer's disease,"Y_RNA,CTD-2194D22.4"
Mez J,Late-onset Alzheimer's disease,SESTD1
Mez J,Late-onset Alzheimer's disease,"RBMX2P4,ETV1"
Mez J,Late-onset Alzheimer's disease,TAS2R5
Mez J,Late-onset Alzheimer's disease,"CSNK2A1,TCF15"
Mez J,Late-onset Alzheimer's disease,"HIGD1AP3,SUMO2P6"
Mez J,Late-onset Alzheimer's disease,PRANCR
Mez J,Late-onset Alzheimer's disease,"LINC01756,LINC01648"
Mez J,Late-onset Alzheimer's disease,"CEP295NL,TIMP2"
Mez J,Late-onset Alzheimer's disease,SELP
Mez J,Late-onset Alzheimer's disease,RBMS3
Sims R,Alzheimer's disease (late onset),BIN1
Sims R,Alzheimer's disease (late onset),CLU
Sims R,Alzheimer's disease (late onset),"CD33,SIGLEC22P"
Sims R,Alzheimer's disease (late onset),CR1
Sims R,Alzheimer's disease (late onset),MS4A6A
Sims R,Alzheimer's disease (late onset),APOE
Sims R,Alzheimer's disease (late onset),TREM2
Sims R,Alzheimer's disease (late onset),ABI3
Sims R,Alzheimer's disease (late onset),PLCG2
Sims R,Alzheimer's disease (late onset),TREM2
Sims R,Alzheimer's disease (late onset),RHBDF1
Sims R,Alzheimer's disease (late onset),AHNAK
Sims R,Alzheimer's disease (late onset),ATP5F1C
Sims R,Alzheimer's disease (late onset),BSG
Sims R,Alzheimer's disease (late onset),THSD4
Sims R,Alzheimer's disease (late onset),"ATM,C11orf65"
Sims R,Alzheimer's disease (late onset),TECTA
Mez J,Late-onset Alzheimer's disease,"IRAK1BP1,MEI4"
Mez J,Late-onset Alzheimer's disease,"SLC24A2,MLLT3"
Mez J,Late-onset Alzheimer's disease,"RN7SKP120,TUSC1"
Mez J,Late-onset Alzheimer's disease,"LINC02273,RNA5SP169"
Mez J,Late-onset Alzheimer's disease,KSR2
Mez J,Late-onset Alzheimer's disease,"SPTLC1P2,RNU6-1060P"
Mez J,Late-onset Alzheimer's disease,LINC00648
Mez J,Late-onset Alzheimer's disease,"OSER1-DT,GDAP1L1"
Mez J,Late-onset Alzheimer's disease,LINC02664
Mez J,Late-onset Alzheimer's disease,JPH3
Mez J,Late-onset Alzheimer's disease,AQP4-AS1
Mez J,Late-onset Alzheimer's disease,"RPL23AP44,RNU4-69P"
Mez J,Late-onset Alzheimer's disease,"RPS18P12,HS3ST3B1"
Mez J,Late-onset Alzheimer's disease,MIR924HG
Mez J,Late-onset Alzheimer's disease,TFEB
Mez J,Late-onset Alzheimer's disease,DNAH6
Mez J,Late-onset Alzheimer's disease,HDAC9
Mez J,Late-onset Alzheimer's disease,SHANK2
Mez J,Late-onset Alzheimer's disease,"ADAM3A,ADAM18"
Mez J,Late-onset Alzheimer's disease,"UGT1A8,UGT1A10"
Mez J,Late-onset Alzheimer's disease,TBXAS1
Mez J,Late-onset Alzheimer's disease,"CNGB1,KIFC3"
Mez J,Late-onset Alzheimer's disease,"LINC02103,RNU6-909P"
Kunkle BW,Alzheimer's disease (late onset),IQCK
Kunkle BW,Alzheimer's disease (late onset),"MINDY2-DT,ADAM10"
Kunkle BW,Alzheimer's disease (late onset),"CYYR1,ADAMTS1"
Kunkle BW,Alzheimer's disease (late onset),NDUFAF6
Kunkle BW,Alzheimer's disease (late onset),SPPL2A
Kunkle BW,Alzheimer's disease (late onset),"TSPOAP1-AS1,MIR142HG"
Kunkle BW,Alzheimer's disease (late onset),"ADAMTS20,EEF1A1P17"
Kunkle BW,Alzheimer's disease (late onset),"ECHDC3,USP6NL-AS1"
Kunkle BW,Alzheimer's disease (late onset),"PPIAP55,CYB561"
Kunkle BW,Alzheimer's disease (late onset),OARD1
Kunkle BW,Alzheimer's disease (late onset),"RNA5SP431,MAF"
Kunkle BW,Alzheimer's disease (late onset),"FST,RPL13AP13"
Kunkle BW,Alzheimer's disease (late onset),LINC02109
Kunkle BW,Alzheimer's disease (late onset),"NXT1P1,NHLRC3"
Kunkle BW,Alzheimer's disease (late onset),"OR7E136P,OR7E59P"
Kunkle BW,Alzheimer's disease (late onset),"RDH10-AS1,STAU2-AS1"
Kunkle BW,Alzheimer's disease (late onset),TRPM1
Kunkle BW,Alzheimer's disease (late onset),EGLN3
Kunkle BW,Alzheimer's disease (late onset),NEGR1
Kunkle BW,Alzheimer's disease (late onset),-
Kunkle BW,Alzheimer's disease (late onset),"LINC02353,MAPRE1P2"
Kunkle BW,Alzheimer's disease (late onset),ELL
Kunkle BW,Alzheimer's disease (late onset),CKAP5
Kunkle BW,Alzheimer's disease (late onset),SENP7
Wightman DP,Late-onset Alzheimer's disease,AGRN
Wightman DP,Late-onset Alzheimer's disease,"CR1,CR1-AS1"
Wightman DP,Late-onset Alzheimer's disease,"NCK2,LINC02946"
Wightman DP,Late-onset Alzheimer's disease,"BIN1,NIFKP9"
Wightman DP,Late-onset Alzheimer's disease,INPP5D
Wightman DP,Late-onset Alzheimer's disease,"LINC02498,MIR572"
Wightman DP,Late-onset Alzheimer's disease,TNIP1
Wightman DP,Late-onset Alzheimer's disease,HAVCR2
Wightman DP,Late-onset Alzheimer's disease,"HLA-DQA1,HLA-DRB1"
Wightman DP,Late-onset Alzheimer's disease,"UNC5CL,LRFN2"
Wightman DP,Late-onset Alzheimer's disease,CD2AP
Wightman DP,Late-onset Alzheimer's disease,TMEM106B
Wightman DP,Late-onset Alzheimer's disease,PMS2P1
Wightman DP,Late-onset Alzheimer's disease,EPHA1
Wightman DP,Late-onset Alzheimer's disease,CLU
Wightman DP,Late-onset Alzheimer's disease,OPLAH
Wightman DP,Late-onset Alzheimer's disease,"ECHDC3,USP6NL-AS1"
Wightman DP,Late-onset Alzheimer's disease,"LINC01553,ANK3"
Wightman DP,Late-onset Alzheimer's disease,SPI1
Wightman DP,Late-onset Alzheimer's disease,MS4A4A
Wightman DP,Late-onset Alzheimer's disease,"PICALM,RNU6-560P"
Wightman DP,Late-onset Alzheimer's disease,SORL1
Wightman DP,Late-onset Alzheimer's disease,"GNPNAT1,FERMT2"
Wightman DP,Late-onset Alzheimer's disease,SLC24A4
Wightman DP,Late-onset Alzheimer's disease,MINDY2-DT
Wightman DP,Late-onset Alzheimer's disease,APH1B
Wightman DP,Late-onset Alzheimer's disease,"ZFP3-DT,SLC52A1"
Wightman DP,Late-onset Alzheimer's disease,"FAM171A2,RPL7L1P5"
Wightman DP,Late-onset Alzheimer's disease,ZNF652-AS1
Wightman DP,Late-onset Alzheimer's disease,"TSPOAP1-AS1,MIR142HG"
Wightman DP,Late-onset Alzheimer's disease,"CYB561,PPIAP55"
Wightman DP,Late-onset Alzheimer's disease,ABCA7
Wightman DP,Late-onset Alzheimer's disease,APOE
Wightman DP,Late-onset Alzheimer's disease,"MAMSTR,FUT2"
Wightman DP,Late-onset Alzheimer's disease,CD33
Wightman DP,Late-onset Alzheimer's disease,"LILRA5,VN1R104P"
Wightman DP,Late-onset Alzheimer's disease,CASS4
Wightman DP,Late-onset Alzheimer's disease,APP
Kang S,Late-onset Alzheimer's disease,TOMM40
Kang S,Late-onset AlzheimerΓÇÖs disease in APOEe4 non-carriers,CACNA1A
Kang S,Late-onset AlzheimerΓÇÖs disease in APOEe4 non-carriers,LRIG1
Miron J,Late-onset Alzheimer's disease,-
Ray NR,Late-onset Alzheimer's disease,"APOC1,APOC1P1"
Ray NR,Late-onset Alzheimer's disease,MPDZ
Ray NR,Late-onset Alzheimer's disease,SRGAP3
Ray NR,Late-onset Alzheimer's disease,"IYD,PLEKHG1"
Ray NR,Late-onset Alzheimer's disease,C12orf42-AS1
Ray NR,Late-onset Alzheimer's disease,LINC01250
Ray NR,Late-onset Alzheimer's disease,"LINC00923,LINC02253"
Ray NR,Late-onset Alzheimer's disease,"LINC02152,RBFOX1"
Ray NR,Late-onset Alzheimer's disease,"MTARC2P1,RN7SL553P"
Ray NR,Late-onset Alzheimer's disease,"ALCAM,EZRP1"
Ray NR,Late-onset Alzheimer's disease,GPC6
Ray NR,Late-onset Alzheimer's disease,VRK3
Ray NR,Late-onset Alzheimer's disease,CNTNAP4
Ray NR,Late-onset Alzheimer's disease,C12orf42
Ray NR,Late-onset Alzheimer's disease,WDR70
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),MPDZ
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),"LINC00923,LINC02253"
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),"SNRPEP5,ID2-AS1"
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),ABCA7
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),GPC6
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),TANC2
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),"RPSAP74,RLIG1P3"
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),ARHGAP45
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),TEX41
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),C12orf42
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),UNC5C-AS1
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),CNTNAP4
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),GRIN3B
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),SDK1
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),"LINC02152,RBFOX1"
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),C12orf42-AS1
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),VRK3
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),HNRNPKP3
Ray NR,Late-onset Alzheimer's disease (adjusted for APOE),SRGAP3
Jonsson T,Alzheimer's disease,TREM2
Cummings AC,Alzheimer's disease (late onset),"LINC02098,ETS1"
Cummings AC,Alzheimer's disease (late onset),PCNX1
Cummings AC,Alzheimer's disease (late onset),"LINC01428,BMP2"
Cummings AC,Alzheimer's disease (late onset),MPZL1
Cummings AC,Alzheimer's disease (late onset),"LINC02923,RN7SKP27"
Cummings AC,Alzheimer's disease (late onset),"DSTNP5,ICOS"
Cummings AC,Alzheimer's disease (late onset),"FRMD4B,LMOD3"
Cummings AC,Alzheimer's disease (late onset),ATXN7L1
Cummings AC,Alzheimer's disease (late onset),MAILR
Cummings AC,Alzheimer's disease (late onset),"SLC25A6P5,LINC01505"
Cummings AC,Alzheimer's disease (late onset),LUZP2
Cummings AC,Alzheimer's disease (late onset),CDON
Cummings AC,Alzheimer's disease (late onset),"PCNX1,SIPA1L1-AS1"
P├⌐rez-Palma E,Alzheimer's disease,TOMM40
P├⌐rez-Palma E,Alzheimer's disease,NDUFA12
P├⌐rez-Palma E,Alzheimer's disease,"RN7SKP207,HPRT1P2"
P├⌐rez-Palma E,Alzheimer's disease,"MS4A2,MS4A3"
P├⌐rez-Palma E,Alzheimer's disease,"FANCD2OS,FANCD2"
Jun G,Alzheimer's disease in APOE e4+ carriers,"LINC02695,RNU6-560P"
Jun G,Alzheimer's disease in APOE e4+ carriers,"CR1,CR1-AS1"
Jun G,Alzheimer's disease in APOE e4+ carriers,"NIFKP9,BIN1"
Jun G,Alzheimer's disease in APOE e4+ carriers,DAPL1
Jun G,Alzheimer's disease in APOE e4+ carriers,PDE1A
Jun G,Alzheimer's disease in APOE e4+ carriers,"RPS27P10,CPS1"
Jun G,Alzheimer's disease in APOE e4+ carriers,CADM2
Jun G,Alzheimer's disease in APOE e4+ carriers,FBXO40
Jun G,Alzheimer's disease in APOE e4+ carriers,"LINC00290,LINC02500"
Jun G,Alzheimer's disease in APOE e4+ carriers,"RPL7AP36,OFCC1"
Jun G,Alzheimer's disease in APOE e4+ carriers,PEX6
Jun G,Alzheimer's disease in APOE e4+ carriers,"IMMP2L,RPL3P8"
Jun G,Alzheimer's disease in APOE e4+ carriers,CLU
Jun G,Alzheimer's disease in APOE e4+ carriers,PICALM
Jun G,Alzheimer's disease in APOE e4+ carriers,"RNU6-560P,PICALM"
Jun G,Alzheimer's disease in APOE e4+ carriers,SORD
Jun G,Alzheimer's disease in APOE e4+ carriers,LINC01684
Jun G,Alzheimer's disease in APOE e4- carriers,PTK2B
Jun G,Alzheimer's disease in APOE e4- carriers,SORL1
Jun G,Alzheimer's disease in APOE e4- carriers,KCNN3
Jun G,Alzheimer's disease in APOE e4- carriers,"BIN1,NIFKP9"
Jun G,Alzheimer's disease in APOE e4- carriers,"CLDN18,HSPA8P9"
Jun G,Alzheimer's disease in APOE e4- carriers,"RN7SL193P,RN7SL691P"
Jun G,Alzheimer's disease in APOE e4- carriers,IL21-AS1
Jun G,Alzheimer's disease in APOE e4- carriers,"KRT18P45,SERINC5"
Jun G,Alzheimer's disease in APOE e4- carriers,CDC42SE2
Jun G,Alzheimer's disease in APOE e4- carriers,RAPGEF6
Jun G,Alzheimer's disease in APOE e4- carriers,FNIP1
Jun G,Alzheimer's disease in APOE e4- carriers,MEIKIN
Jun G,Alzheimer's disease in APOE e4- carriers,ACSL6
Jun G,Alzheimer's disease in APOE e4- carriers,"PFDN1,HBEGF"
Jun G,Alzheimer's disease in APOE e4- carriers,"FAM157D,LINC03015"
Jun G,Alzheimer's disease in APOE e4- carriers,"LINC03007,TSEN15P3"
Jun G,Alzheimer's disease in APOE e4- carriers,EPHA1-AS1
Jun G,Alzheimer's disease in APOE e4- carriers,CLU
Jun G,Alzheimer's disease in APOE e4- carriers,"ECHDC3,USP6NL-AS1"
Jun G,Alzheimer's disease in APOE e4- carriers,SH2D4B
Jun G,Alzheimer's disease in APOE e4- carriers,"LINC02667,LINC01163"
Jun G,Alzheimer's disease in APOE e4- carriers,MS4A4A
Jun G,Alzheimer's disease in APOE e4- carriers,"RNU6-560P,LINC02695"
Jun G,Alzheimer's disease in APOE e4- carriers,SLC24A4
Jun G,Alzheimer's disease in APOE e4- carriers,LINC02210-CRHR1
Jun G,Alzheimer's disease in APOE e4- carriers,ARL17B
Jun G,Alzheimer's disease in APOE e4- carriers,WNT3
Jun G,Alzheimer's disease in APOE e4- carriers,"HID1-AS1,CDR2L"
Jun G,Alzheimer's disease in APOE e4- carriers,"MACROD2,PPIAP17"
Nelson PT,Alzheimer's disease,TOMM40
Nelson PT,Alzheimer's disease,BMPER
Nelson PT,Alzheimer's disease,SLC8A1-AS1
Wijsman EM,Alzheimer's disease (late onset),CELF2
Kramer PL,Alzheimer's disease,RELN
Kramer PL,Alzheimer's disease,LINC03022
Meda SA,Alzheimer's disease,-
Meda SA,Alzheimer's disease,-
Seshadri S,Alzheimer's disease,TOMM40
Webster JA,Alzheimer's disease,"APOC1,APOC1P1"
Coon KD,Alzheimer's disease (late onset),"APOC1,APOC1P1"
Heinzen EL,Alzheimer's disease,PAX2
Heinzen EL,Alzheimer's disease,LINC01725
Heinzen EL,Alzheimer's disease,"SASH1,SAMD5"
Heinzen EL,Alzheimer's disease,"RFC3,VDAC1P12"
Heinzen EL,Alzheimer's disease,TOMM40
Naj AC,Alzheimer's disease (late onset),"Metazoa_SRP,EDAR"
Naj AC,Alzheimer's disease (late onset),TOMM40
Naj AC,Alzheimer's disease (late onset),NECTIN2
Naj AC,Alzheimer's disease (late onset),MTHFD1L
Logue MW,Alzheimer's disease,SLC4A1AP
Logue MW,Alzheimer's disease,HAS2-AS1
Logue MW,Alzheimer's disease,PROX1-AS1
Logue MW,Alzheimer's disease,"ZFYVE9P2,RN7SKP168"
Logue MW,Alzheimer's disease,RBMS3
Logue MW,Alzheimer's disease,POLN
Logue MW,Alzheimer's disease,CNTNAP2
Logue MW,Alzheimer's disease,"TBX3-AS1,UBA52P7"
Logue MW,Alzheimer's disease,STK24
Logue MW,Alzheimer's disease,NECTIN2
Logue MW,Alzheimer's disease,"ATP8A2P3,RNF6"
Ant├║nez C,Alzheimer's disease,MS4A4A
Ant├║nez C,Alzheimer's disease,TOMM40
Ant├║nez C,Alzheimer's disease,"PICALM,RNU6-560P"
Ant├║nez C,Alzheimer's disease,"SCARA3,CLU"
Ant├║nez C,Alzheimer's disease,"BIN1,NIFKP9"
Lambert JC,Alzheimer's disease,CLU; CLU; CLU
Lambert JC,Alzheimer's disease,CR1; CR1
Lambert JC,Alzheimer's disease,TOMM40
Kamboh MI,Alzheimer's disease,"APOC1,APOC1P1"
Kamboh MI,Alzheimer's disease,LINC03122
Kamboh MI,Alzheimer's disease,"MMP3,MMP12"
Kamboh MI,Alzheimer's disease,"PPP1R2P5,LINC01789"
Kamboh MI,Alzheimer's disease,"BIN1,NIFKP9"
Kamboh MI,Alzheimer's disease,PICALM
Kamboh MI,Alzheimer's disease,PPP1R3B
Kamboh MI,Alzheimer's disease,"RPS3AP17,PCDH7"
Lambert JC,Alzheimer's disease,FRMD4A; FRMD4A; FRMD4A
Hu X,Alzheimer's disease (late onset),"BIN1,NIFKP9"
Hu X,Alzheimer's disease (late onset),"BIN1,NIFKP9"
Li H,Alzheimer's disease,"APOC1,APOC1P1"
Stein JL,Brain structure (temporal lobe volume),"MYRIP,NFU1P1"
Stein JL,Brain structure (temporal lobe volume),"MAPRE1P2,RPL31P31"
Stein JL,Brain structure (temporal lobe volume),GRIN2B
Stein JL,Brain structure (temporal lobe volume),NRXN3
Stein JL,Brain structure (temporal lobe volume),TLN2
Miyashita A,Alzheimer's disease (late onset),SORL1
Miyashita A,Alzheimer's disease (late onset),NECTIN2
Reitz C,Alzheimer's disease (late onset),ABCA7
Reitz C,Alzheimer's disease (late onset),"HIGD1AP3,SUMO2P6"
Hollingworth P,Alzheimer's disease,ABCA7
Hollingworth P,Alzheimer's disease,MS4A6A
Hollingworth P,Alzheimer's disease,CR1
Hollingworth P,Alzheimer's disease,"BIN1,NIFKP9"
Beecham GW,Alzheimer's disease,ZNF225-AS1
Beecham GW,Alzheimer's disease,"PPIAP45,PCED1B"
Beecham GW,Alzheimer's disease,"DISC1,TSNAX-DISC1"
Carrasquillo MM,Alzheimer's disease,PCDH11X
Harold D,Alzheimer's disease,CLU
Harold D,Alzheimer's disease,"RNU6-560P,LINC02695"
Harold D,Alzheimer's disease,TOMM40
Reiman EM,Alzheimer's disease (late onset),GAB2
Abraham R,Alzheimer's disease,NECTIN2
Abraham R,Alzheimer's disease,LRAT
Sherva R,Alzheimer's disease (cognitive decline),PRRC2C
Sherva R,Alzheimer's disease (cognitive decline),FMN2
Sherva R,Alzheimer's disease (cognitive decline),CTNNA2
Sherva R,Alzheimer's disease (cognitive decline),LIMS2
Sherva R,Alzheimer's disease (cognitive decline),MOBP
Sherva R,Alzheimer's disease (cognitive decline),STK32B
Sherva R,Alzheimer's disease (cognitive decline),AFF1
Sherva R,Alzheimer's disease (cognitive decline),ANKRD55
Sherva R,Alzheimer's disease (cognitive decline),PGAM5P1
Sherva R,Alzheimer's disease (cognitive decline),CAMK4
Sherva R,Alzheimer's disease (cognitive decline),DMXL1
Sherva R,Alzheimer's disease (cognitive decline),MEGF10
Sherva R,Alzheimer's disease (cognitive decline),SLC12A2-DT
Sherva R,Alzheimer's disease (cognitive decline),SAP30L
Sherva R,Alzheimer's disease (cognitive decline),NKAIN2
Sherva R,Alzheimer's disease (cognitive decline),"PDE7B-AS1,PDE7B"
Sherva R,Alzheimer's disease (cognitive decline),PLEKHG1
Sherva R,Alzheimer's disease (cognitive decline),BZW2
Sherva R,Alzheimer's disease (cognitive decline),CYCS
Sherva R,Alzheimer's disease (cognitive decline),ELMO1
Sherva R,Alzheimer's disease (cognitive decline),EXOC4
Sherva R,Alzheimer's disease (cognitive decline),CSMD1
Sherva R,Alzheimer's disease (cognitive decline),ST18
Sherva R,Alzheimer's disease (cognitive decline),NCS1
Sherva R,Alzheimer's disease (cognitive decline),PLPP4
Sherva R,Alzheimer's disease (cognitive decline),SPON1
Sherva R,Alzheimer's disease (cognitive decline),ARHGAP20
Sherva R,Alzheimer's disease (cognitive decline),SLC4A8
Sherva R,Alzheimer's disease (cognitive decline),CRADD
Sherva R,Alzheimer's disease (cognitive decline),ANO4
Sherva R,Alzheimer's disease (cognitive decline),GPC6
Sherva R,Alzheimer's disease (cognitive decline),MYO16
Sherva R,Alzheimer's disease (cognitive decline),CLMN
Sherva R,Alzheimer's disease (cognitive decline),GABRG3
Sherva R,Alzheimer's disease (cognitive decline),"ALDH1A2,LIPC-AS1,LIPC"
Sherva R,Alzheimer's disease (cognitive decline),"LINC01567,TNRC6A"
Sherva R,Alzheimer's disease (cognitive decline),VAT1L
Sherva R,Alzheimer's disease (cognitive decline),SP6
Sherva R,Alzheimer's disease (cognitive decline),CACNA1G
Sherva R,Alzheimer's disease (cognitive decline),BCAS3
Sherva R,Alzheimer's disease (cognitive decline),PPIAP59
Sherva R,Alzheimer's disease (cognitive decline),TGM6
Sherva R,Alzheimer's disease (cognitive decline),PARVB
Sherva R,Alzheimer's disease (cognitive decline),HECW1
Lambert JC,Alzheimer's disease (late onset),"CD33,SIGLEC22P"
Lambert JC,Alzheimer's disease (late onset),GPR141
Lambert JC,Alzheimer's disease (late onset),CASS4
Lambert JC,Alzheimer's disease (late onset),SORL1
Lambert JC,Alzheimer's disease (late onset),CR1
Lambert JC,Alzheimer's disease (late onset),"NIFKP9,BIN1"
Lambert JC,Alzheimer's disease (late onset),CD2AP
Lambert JC,Alzheimer's disease (late onset),EPHA1-AS1
Lambert JC,Alzheimer's disease (late onset),CLU
Lambert JC,Alzheimer's disease (late onset),"MS4A2,LINC02705"
Lambert JC,Alzheimer's disease (late onset),"LINC02695,RNU6-560P"
Lambert JC,Alzheimer's disease (late onset),ABCA7
Lambert JC,Alzheimer's disease (late onset),INPP5D
Lambert JC,Alzheimer's disease (late onset),MEF2C-AS1
Lambert JC,Alzheimer's disease (late onset),ZCWPW1
Lambert JC,Alzheimer's disease (late onset),CELF1
Lambert JC,Alzheimer's disease (late onset),FERMT2
Lambert JC,Alzheimer's disease (late onset),"HLA-DRB1,HLA-DQA1"
Lambert JC,Alzheimer's disease (late onset),PTK2B
Lambert JC,Alzheimer's disease (late onset),SLC24A4
Lambert JC,Alzheimer's disease (late onset),"RPL23AP22,LINC01031"
Lambert JC,Alzheimer's disease (late onset),"LINC02360,HS3ST1"
Lambert JC,Alzheimer's disease (late onset),SQSTM1
Lambert JC,Alzheimer's disease (late onset),"TREM2,TREML2"
