author,mappedGenes,traitName
Mez J,"SEM1,RNU7-188P",Late-onset Alzheimer's disease
Mez J,"MIR4431,ASB3",Late-onset Alzheimer's disease
Mez J,SEC24B,Late-onset Alzheimer's disease
Mez J,"STK31,RNA5SP228",Late-onset Alzheimer's disease
Mez J,GTF2H3,Late-onset Alzheimer's disease
Mez J,"PTPRS,ZNRF4",Late-onset Alzheimer's disease
Mez J,PPP1R3B-DT,Late-onset Alzheimer's disease
Mez J,RASSF5,Late-onset Alzheimer's disease
Mez J,COL25A1,Late-onset Alzheimer's disease
Mez J,"RAD23B,ZNF462",Late-onset Alzheimer's disease
Mez J,HMCN1,Late-onset Alzheimer's disease
Mez J,SCAPER,Late-onset Alzheimer's disease
Mez J,"LINC02986,RPSAP47",Late-onset Alzheimer's disease
Mez J,"LINC01479,LINC02421",Late-onset Alzheimer's disease
Mez J,"LINC02063,LINC02114",Late-onset Alzheimer's disease
Mez J,NAALADL2,Late-onset Alzheimer's disease
Mez J,DLC1,Late-onset Alzheimer's disease
Mez J,"HMGA2,HMGA2-AS1",Late-onset Alzheimer's disease
Mez J,ANKRD22,Late-onset Alzheimer's disease
Mez J,ADGRL2,Late-onset Alzheimer's disease
Mez J,"LINC02151,RPL15P15",Late-onset Alzheimer's disease
Mez J,LINC00970,Late-onset Alzheimer's disease
Mez J,"SEMA3A,RAD23BP2",Late-onset Alzheimer's disease
Mez J,MECOM,Late-onset Alzheimer's disease
Mez J,PCSK6,Late-onset Alzheimer's disease
Mez J,"RN7SKP102,CNTNAP5-DT",Late-onset Alzheimer's disease
Mez J,"NPEPPSP1,MRPL45",Late-onset Alzheimer's disease
Mez J,AKR7A3,Late-onset Alzheimer's disease
Mez J,IRAK1BP1,Late-onset Alzheimer's disease
Mez J,CFAP74,Late-onset Alzheimer's disease
Mez J,CEP63,Late-onset Alzheimer's disease
Mez J,"RNU6-679P,CTNND2",Late-onset Alzheimer's disease
Mez J,BICRA,Late-onset Alzheimer's disease
Mez J,FAM240B,Late-onset Alzheimer's disease
Mez J,SLMAP,Late-onset Alzheimer's disease
Mez J,AOX1,Late-onset Alzheimer's disease
Mez J,UNC93B4,Late-onset Alzheimer's disease
Mez J,CDH1,Late-onset Alzheimer's disease
Mez J,IQGAP2,Late-onset Alzheimer's disease
Mez J,"METTL21EP,SLC10A2",Late-onset Alzheimer's disease
Mez J,TAFA5,Late-onset Alzheimer's disease
Mez J,"LINC02388,LRIG3",Late-onset Alzheimer's disease
Mez J,"CALM3,GAPDHP38",Late-onset Alzheimer's disease
Mez J,"USP10,KLHL36",Late-onset Alzheimer's disease
Mez J,CIMAP3,Late-onset Alzheimer's disease
Mez J,"CEACAM16-AS1,IGSF23",Late-onset Alzheimer's disease
Mez J,"TRABD-AS1,SELENOO",Late-onset Alzheimer's disease
Mez J,"KRAS,RNU4-67P",Late-onset Alzheimer's disease
Mez J,"CDCA7L,RAPGEF5",Late-onset Alzheimer's disease
Mez J,"ZP3P2,TRPC6P8",Late-onset Alzheimer's disease
Mez J,"ZNF90,BNIP3P13",Late-onset Alzheimer's disease
Mez J,"ATP6V0E2,ACTR3C",Late-onset Alzheimer's disease
Mez J,"CYRIA,LINC01866",Late-onset Alzheimer's disease
Mez J,SYNGAP1,Late-onset Alzheimer's disease
Mez J,"Y_RNA,CTD-2194D22.4",Late-onset Alzheimer's disease
Mez J,SESTD1,Late-onset Alzheimer's disease
Mez J,"RBMX2P4,ETV1",Late-onset Alzheimer's disease
Mez J,TAS2R5,Late-onset Alzheimer's disease
Mez J,"CSNK2A1,TCF15",Late-onset Alzheimer's disease
Mez J,"HIGD1AP3,SUMO2P6",Late-onset Alzheimer's disease
Mez J,PRANCR,Late-onset Alzheimer's disease
Mez J,"LINC01756,LINC01648",Late-onset Alzheimer's disease
Mez J,"CEP295NL,TIMP2",Late-onset Alzheimer's disease
Mez J,SELP,Late-onset Alzheimer's disease
Mez J,RBMS3,Late-onset Alzheimer's disease
Mez J,BIN1,Alzheimer's disease (late onset)
Mez J,CLU,Alzheimer's disease (late onset)
Mez J,"CD33,SIGLEC22P",Alzheimer's disease (late onset)
Mez J,CR1,Alzheimer's disease (late onset)
Mez J,MS4A6A,Alzheimer's disease (late onset)
Mez J,APOE,Alzheimer's disease (late onset)
Mez J,TREM2,Alzheimer's disease (late onset)
Mez J,ABI3,Alzheimer's disease (late onset)
Mez J,PLCG2,Alzheimer's disease (late onset)
Mez J,TREM2,Alzheimer's disease (late onset)
Mez J,RHBDF1,Alzheimer's disease (late onset)
Mez J,AHNAK,Alzheimer's disease (late onset)
Mez J,ATP5F1C,Alzheimer's disease (late onset)
Mez J,BSG,Alzheimer's disease (late onset)
Mez J,THSD4,Alzheimer's disease (late onset)
Mez J,"ATM,C11orf65",Alzheimer's disease (late onset)
Mez J,TECTA,Alzheimer's disease (late onset)
Mez J,"IRAK1BP1,MEI4",Late-onset Alzheimer's disease
Mez J,"SLC24A2,MLLT3",Late-onset Alzheimer's disease
Mez J,"RN7SKP120,TUSC1",Late-onset Alzheimer's disease
Mez J,"LINC02273,RNA5SP169",Late-onset Alzheimer's disease
Mez J,KSR2,Late-onset Alzheimer's disease
Mez J,"SPTLC1P2,RNU6-1060P",Late-onset Alzheimer's disease
Mez J,LINC00648,Late-onset Alzheimer's disease
Mez J,"OSER1-DT,GDAP1L1",Late-onset Alzheimer's disease
Mez J,LINC02664,Late-onset Alzheimer's disease
Mez J,JPH3,Late-onset Alzheimer's disease
Mez J,AQP4-AS1,Late-onset Alzheimer's disease
Mez J,"RPL23AP44,RNU4-69P",Late-onset Alzheimer's disease
Mez J,"RPS18P12,HS3ST3B1",Late-onset Alzheimer's disease
Mez J,MIR924HG,Late-onset Alzheimer's disease
Mez J,TFEB,Late-onset Alzheimer's disease
Mez J,DNAH6,Late-onset Alzheimer's disease
Mez J,HDAC9,Late-onset Alzheimer's disease
Mez J,SHANK2,Late-onset Alzheimer's disease
Mez J,"ADAM3A,ADAM18",Late-onset Alzheimer's disease
Mez J,"UGT1A8,UGT1A10",Late-onset Alzheimer's disease
Mez J,TBXAS1,Late-onset Alzheimer's disease
Mez J,"CNGB1,KIFC3",Late-onset Alzheimer's disease
Mez J,"LINC02103,RNU6-909P",Late-onset Alzheimer's disease
Mez J,IQCK,Alzheimer's disease (late onset)
Mez J,"MINDY2-DT,ADAM10",Alzheimer's disease (late onset)
Mez J,"CYYR1,ADAMTS1",Alzheimer's disease (late onset)
Mez J,NDUFAF6,Alzheimer's disease (late onset)
Mez J,SPPL2A,Alzheimer's disease (late onset)
Mez J,"TSPOAP1-AS1,MIR142HG",Alzheimer's disease (late onset)
Mez J,"ADAMTS20,EEF1A1P17",Alzheimer's disease (late onset)
Mez J,"ECHDC3,USP6NL-AS1",Alzheimer's disease (late onset)
Mez J,"PPIAP55,CYB561",Alzheimer's disease (late onset)
Mez J,OARD1,Alzheimer's disease (late onset)
Mez J,"RNA5SP431,MAF",Alzheimer's disease (late onset)
Mez J,"FST,RPL13AP13",Alzheimer's disease (late onset)
Mez J,LINC02109,Alzheimer's disease (late onset)
Mez J,"NXT1P1,NHLRC3",Alzheimer's disease (late onset)
Mez J,"OR7E136P,OR7E59P",Alzheimer's disease (late onset)
Mez J,"RDH10-AS1,STAU2-AS1",Alzheimer's disease (late onset)
Mez J,TRPM1,Alzheimer's disease (late onset)
Mez J,EGLN3,Alzheimer's disease (late onset)
Mez J,NEGR1,Alzheimer's disease (late onset)
Mez J,-,Alzheimer's disease (late onset)
Mez J,"LINC02353,MAPRE1P2",Alzheimer's disease (late onset)
Mez J,ELL,Alzheimer's disease (late onset)
Mez J,CKAP5,Alzheimer's disease (late onset)
Mez J,SENP7,Alzheimer's disease (late onset)
Mez J,AGRN,Late-onset Alzheimer's disease
Mez J,"CR1,CR1-AS1",Late-onset Alzheimer's disease
Mez J,"NCK2,LINC02946",Late-onset Alzheimer's disease
Mez J,"BIN1,NIFKP9",Late-onset Alzheimer's disease
Mez J,INPP5D,Late-onset Alzheimer's disease
Mez J,"LINC02498,MIR572",Late-onset Alzheimer's disease
Mez J,TNIP1,Late-onset Alzheimer's disease
Mez J,HAVCR2,Late-onset Alzheimer's disease
Mez J,"HLA-DQA1,HLA-DRB1",Late-onset Alzheimer's disease
Mez J,"UNC5CL,LRFN2",Late-onset Alzheimer's disease
Mez J,CD2AP,Late-onset Alzheimer's disease
Mez J,TMEM106B,Late-onset Alzheimer's disease
Mez J,PMS2P1,Late-onset Alzheimer's disease
Mez J,EPHA1,Late-onset Alzheimer's disease
Mez J,CLU,Late-onset Alzheimer's disease
Mez J,OPLAH,Late-onset Alzheimer's disease
Mez J,"ECHDC3,USP6NL-AS1",Late-onset Alzheimer's disease
Mez J,"LINC01553,ANK3",Late-onset Alzheimer's disease
Mez J,SPI1,Late-onset Alzheimer's disease
Mez J,MS4A4A,Late-onset Alzheimer's disease
Mez J,"PICALM,RNU6-560P",Late-onset Alzheimer's disease
Mez J,SORL1,Late-onset Alzheimer's disease
Mez J,"GNPNAT1,FERMT2",Late-onset Alzheimer's disease
Mez J,SLC24A4,Late-onset Alzheimer's disease
Mez J,MINDY2-DT,Late-onset Alzheimer's disease
Mez J,APH1B,Late-onset Alzheimer's disease
Mez J,"ZFP3-DT,SLC52A1",Late-onset Alzheimer's disease
Mez J,"FAM171A2,RPL7L1P5",Late-onset Alzheimer's disease
Mez J,ZNF652-AS1,Late-onset Alzheimer's disease
Mez J,"TSPOAP1-AS1,MIR142HG",Late-onset Alzheimer's disease
Mez J,"CYB561,PPIAP55",Late-onset Alzheimer's disease
Mez J,ABCA7,Late-onset Alzheimer's disease
Mez J,APOE,Late-onset Alzheimer's disease
Mez J,"MAMSTR,FUT2",Late-onset Alzheimer's disease
Mez J,CD33,Late-onset Alzheimer's disease
Mez J,"LILRA5,VN1R104P",Late-onset Alzheimer's disease
Mez J,CASS4,Late-onset Alzheimer's disease
Mez J,APP,Late-onset Alzheimer's disease
Mez J,TOMM40,Late-onset Alzheimer's disease
Mez J,CACNA1A,Late-onset AlzheimerΓÇÖs disease in APOEe4 non-carriers
Mez J,LRIG1,Late-onset AlzheimerΓÇÖs disease in APOEe4 non-carriers
Mez J,-,Late-onset Alzheimer's disease
Mez J,"APOC1,APOC1P1",Late-onset Alzheimer's disease
Mez J,MPDZ,Late-onset Alzheimer's disease
Mez J,SRGAP3,Late-onset Alzheimer's disease
Mez J,"IYD,PLEKHG1",Late-onset Alzheimer's disease
Mez J,C12orf42-AS1,Late-onset Alzheimer's disease
Mez J,LINC01250,Late-onset Alzheimer's disease
Mez J,"LINC00923,LINC02253",Late-onset Alzheimer's disease
Mez J,"LINC02152,RBFOX1",Late-onset Alzheimer's disease
Mez J,"MTARC2P1,RN7SL553P",Late-onset Alzheimer's disease
Mez J,"ALCAM,EZRP1",Late-onset Alzheimer's disease
Mez J,GPC6,Late-onset Alzheimer's disease
Mez J,VRK3,Late-onset Alzheimer's disease
Mez J,CNTNAP4,Late-onset Alzheimer's disease
Mez J,C12orf42,Late-onset Alzheimer's disease
Mez J,WDR70,Late-onset Alzheimer's disease
Mez J,MPDZ,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,"LINC00923,LINC02253",Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,"SNRPEP5,ID2-AS1",Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,ABCA7,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,GPC6,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,TANC2,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,"RPSAP74,RLIG1P3",Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,ARHGAP45,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,TEX41,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,C12orf42,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,UNC5C-AS1,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,CNTNAP4,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,GRIN3B,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,SDK1,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,"LINC02152,RBFOX1",Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,C12orf42-AS1,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,VRK3,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,HNRNPKP3,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,SRGAP3,Late-onset Alzheimer's disease (adjusted for APOE)
Mez J,TREM2,Alzheimer's disease
Mez J,"LINC02098,ETS1",Alzheimer's disease (late onset)
Mez J,PCNX1,Alzheimer's disease (late onset)
Mez J,"LINC01428,BMP2",Alzheimer's disease (late onset)
Mez J,MPZL1,Alzheimer's disease (late onset)
Mez J,"LINC02923,RN7SKP27",Alzheimer's disease (late onset)
Mez J,"DSTNP5,ICOS",Alzheimer's disease (late onset)
Mez J,"FRMD4B,LMOD3",Alzheimer's disease (late onset)
Mez J,ATXN7L1,Alzheimer's disease (late onset)
Mez J,MAILR,Alzheimer's disease (late onset)
Mez J,"SLC25A6P5,LINC01505",Alzheimer's disease (late onset)
Mez J,LUZP2,Alzheimer's disease (late onset)
Mez J,CDON,Alzheimer's disease (late onset)
Mez J,"PCNX1,SIPA1L1-AS1",Alzheimer's disease (late onset)
Mez J,TOMM40,Alzheimer's disease
Mez J,NDUFA12,Alzheimer's disease
Mez J,"RN7SKP207,HPRT1P2",Alzheimer's disease
Mez J,"MS4A2,MS4A3",Alzheimer's disease
Mez J,"FANCD2OS,FANCD2",Alzheimer's disease
Mez J,"LINC02695,RNU6-560P",Alzheimer's disease in APOE e4+ carriers
Mez J,"CR1,CR1-AS1",Alzheimer's disease in APOE e4+ carriers
Mez J,"NIFKP9,BIN1",Alzheimer's disease in APOE e4+ carriers
Mez J,DAPL1,Alzheimer's disease in APOE e4+ carriers
Mez J,PDE1A,Alzheimer's disease in APOE e4+ carriers
Mez J,"RPS27P10,CPS1",Alzheimer's disease in APOE e4+ carriers
Mez J,CADM2,Alzheimer's disease in APOE e4+ carriers
Mez J,FBXO40,Alzheimer's disease in APOE e4+ carriers
Mez J,"LINC00290,LINC02500",Alzheimer's disease in APOE e4+ carriers
Mez J,"RPL7AP36,OFCC1",Alzheimer's disease in APOE e4+ carriers
Mez J,PEX6,Alzheimer's disease in APOE e4+ carriers
Mez J,"IMMP2L,RPL3P8",Alzheimer's disease in APOE e4+ carriers
Mez J,CLU,Alzheimer's disease in APOE e4+ carriers
Mez J,PICALM,Alzheimer's disease in APOE e4+ carriers
Mez J,"RNU6-560P,PICALM",Alzheimer's disease in APOE e4+ carriers
Mez J,SORD,Alzheimer's disease in APOE e4+ carriers
Mez J,LINC01684,Alzheimer's disease in APOE e4+ carriers
Mez J,PTK2B,Alzheimer's disease in APOE e4- carriers
Mez J,SORL1,Alzheimer's disease in APOE e4- carriers
Mez J,KCNN3,Alzheimer's disease in APOE e4- carriers
Mez J,"BIN1,NIFKP9",Alzheimer's disease in APOE e4- carriers
Mez J,"CLDN18,HSPA8P9",Alzheimer's disease in APOE e4- carriers
Mez J,"RN7SL193P,RN7SL691P",Alzheimer's disease in APOE e4- carriers
Mez J,IL21-AS1,Alzheimer's disease in APOE e4- carriers
Mez J,"KRT18P45,SERINC5",Alzheimer's disease in APOE e4- carriers
Mez J,CDC42SE2,Alzheimer's disease in APOE e4- carriers
Mez J,RAPGEF6,Alzheimer's disease in APOE e4- carriers
Mez J,FNIP1,Alzheimer's disease in APOE e4- carriers
Mez J,MEIKIN,Alzheimer's disease in APOE e4- carriers
Mez J,ACSL6,Alzheimer's disease in APOE e4- carriers
Mez J,"PFDN1,HBEGF",Alzheimer's disease in APOE e4- carriers
Mez J,"FAM157D,LINC03015",Alzheimer's disease in APOE e4- carriers
Mez J,"LINC03007,TSEN15P3",Alzheimer's disease in APOE e4- carriers
Mez J,EPHA1-AS1,Alzheimer's disease in APOE e4- carriers
Mez J,CLU,Alzheimer's disease in APOE e4- carriers
Mez J,"ECHDC3,USP6NL-AS1",Alzheimer's disease in APOE e4- carriers
Mez J,SH2D4B,Alzheimer's disease in APOE e4- carriers
Mez J,"LINC02667,LINC01163",Alzheimer's disease in APOE e4- carriers
Mez J,MS4A4A,Alzheimer's disease in APOE e4- carriers
Mez J,"RNU6-560P,LINC02695",Alzheimer's disease in APOE e4- carriers
Mez J,SLC24A4,Alzheimer's disease in APOE e4- carriers
Mez J,LINC02210-CRHR1,Alzheimer's disease in APOE e4- carriers
Mez J,ARL17B,Alzheimer's disease in APOE e4- carriers
Mez J,WNT3,Alzheimer's disease in APOE e4- carriers
Mez J,"HID1-AS1,CDR2L",Alzheimer's disease in APOE e4- carriers
Mez J,"MACROD2,PPIAP17",Alzheimer's disease in APOE e4- carriers
Mez J,TOMM40,Alzheimer's disease
Mez J,BMPER,Alzheimer's disease
Mez J,SLC8A1-AS1,Alzheimer's disease
Mez J,CELF2,Alzheimer's disease (late onset)
Mez J,RELN,Alzheimer's disease
Mez J,LINC03022,Alzheimer's disease
Mez J,-,Alzheimer's disease
Mez J,-,Alzheimer's disease
Mez J,TOMM40,Alzheimer's disease
Mez J,"APOC1,APOC1P1",Alzheimer's disease
Mez J,"APOC1,APOC1P1",Alzheimer's disease (late onset)
Mez J,PAX2,Alzheimer's disease
Mez J,LINC01725,Alzheimer's disease
Mez J,"SASH1,SAMD5",Alzheimer's disease
Mez J,"RFC3,VDAC1P12",Alzheimer's disease
Mez J,TOMM40,Alzheimer's disease
Mez J,"Metazoa_SRP,EDAR",Alzheimer's disease (late onset)
Mez J,TOMM40,Alzheimer's disease (late onset)
Mez J,NECTIN2,Alzheimer's disease (late onset)
Mez J,MTHFD1L,Alzheimer's disease (late onset)
Mez J,SLC4A1AP,Alzheimer's disease
Mez J,HAS2-AS1,Alzheimer's disease
Mez J,PROX1-AS1,Alzheimer's disease
Mez J,"ZFYVE9P2,RN7SKP168",Alzheimer's disease
Mez J,RBMS3,Alzheimer's disease
Mez J,POLN,Alzheimer's disease
Mez J,CNTNAP2,Alzheimer's disease
Mez J,"TBX3-AS1,UBA52P7",Alzheimer's disease
Mez J,STK24,Alzheimer's disease
Mez J,NECTIN2,Alzheimer's disease
Mez J,"ATP8A2P3,RNF6",Alzheimer's disease
Mez J,MS4A4A,Alzheimer's disease
Mez J,TOMM40,Alzheimer's disease
Mez J,"PICALM,RNU6-560P",Alzheimer's disease
Mez J,"SCARA3,CLU",Alzheimer's disease
Mez J,"BIN1,NIFKP9",Alzheimer's disease
Mez J,CLU; CLU; CLU,Alzheimer's disease
Mez J,CR1; CR1,Alzheimer's disease
Mez J,TOMM40,Alzheimer's disease
Mez J,"APOC1,APOC1P1",Alzheimer's disease
Mez J,LINC03122,Alzheimer's disease
Mez J,"MMP3,MMP12",Alzheimer's disease
Mez J,"PPP1R2P5,LINC01789",Alzheimer's disease
Mez J,"BIN1,NIFKP9",Alzheimer's disease
Mez J,PICALM,Alzheimer's disease
Mez J,PPP1R3B,Alzheimer's disease
Mez J,"RPS3AP17,PCDH7",Alzheimer's disease
Mez J,FRMD4A; FRMD4A; FRMD4A,Alzheimer's disease
Mez J,"BIN1,NIFKP9",Alzheimer's disease (late onset)
Mez J,"BIN1,NIFKP9",Alzheimer's disease (late onset)
Mez J,"APOC1,APOC1P1",Alzheimer's disease
Mez J,"MYRIP,NFU1P1",Brain structure (temporal lobe volume)
Mez J,"MAPRE1P2,RPL31P31",Brain structure (temporal lobe volume)
Mez J,GRIN2B,Brain structure (temporal lobe volume)
Mez J,NRXN3,Brain structure (temporal lobe volume)
Mez J,TLN2,Brain structure (temporal lobe volume)
Mez J,SORL1,Alzheimer's disease (late onset)
Mez J,NECTIN2,Alzheimer's disease (late onset)
Mez J,ABCA7,Alzheimer's disease (late onset)
Mez J,"HIGD1AP3,SUMO2P6",Alzheimer's disease (late onset)
Mez J,ABCA7,Alzheimer's disease
Mez J,MS4A6A,Alzheimer's disease
Mez J,CR1,Alzheimer's disease
Mez J,"BIN1,NIFKP9",Alzheimer's disease
Mez J,ZNF225-AS1,Alzheimer's disease
Mez J,"PPIAP45,PCED1B",Alzheimer's disease
Mez J,"DISC1,TSNAX-DISC1",Alzheimer's disease
Mez J,PCDH11X,Alzheimer's disease
Mez J,CLU,Alzheimer's disease
Mez J,"RNU6-560P,LINC02695",Alzheimer's disease
Mez J,TOMM40,Alzheimer's disease
Mez J,GAB2,Alzheimer's disease (late onset)
Mez J,NECTIN2,Alzheimer's disease
Mez J,LRAT,Alzheimer's disease
Mez J,PRRC2C,Alzheimer's disease (cognitive decline)
Mez J,FMN2,Alzheimer's disease (cognitive decline)
Mez J,CTNNA2,Alzheimer's disease (cognitive decline)
Mez J,LIMS2,Alzheimer's disease (cognitive decline)
Mez J,MOBP,Alzheimer's disease (cognitive decline)
Mez J,STK32B,Alzheimer's disease (cognitive decline)
Mez J,AFF1,Alzheimer's disease (cognitive decline)
Mez J,ANKRD55,Alzheimer's disease (cognitive decline)
Mez J,PGAM5P1,Alzheimer's disease (cognitive decline)
Mez J,CAMK4,Alzheimer's disease (cognitive decline)
Mez J,DMXL1,Alzheimer's disease (cognitive decline)
Mez J,MEGF10,Alzheimer's disease (cognitive decline)
Mez J,SLC12A2-DT,Alzheimer's disease (cognitive decline)
Mez J,SAP30L,Alzheimer's disease (cognitive decline)
Mez J,NKAIN2,Alzheimer's disease (cognitive decline)
Mez J,"PDE7B-AS1,PDE7B",Alzheimer's disease (cognitive decline)
Mez J,PLEKHG1,Alzheimer's disease (cognitive decline)
Mez J,BZW2,Alzheimer's disease (cognitive decline)
Mez J,CYCS,Alzheimer's disease (cognitive decline)
Mez J,ELMO1,Alzheimer's disease (cognitive decline)
Mez J,EXOC4,Alzheimer's disease (cognitive decline)
Mez J,CSMD1,Alzheimer's disease (cognitive decline)
Mez J,ST18,Alzheimer's disease (cognitive decline)
Mez J,NCS1,Alzheimer's disease (cognitive decline)
Mez J,PLPP4,Alzheimer's disease (cognitive decline)
Mez J,SPON1,Alzheimer's disease (cognitive decline)
Mez J,ARHGAP20,Alzheimer's disease (cognitive decline)
Mez J,SLC4A8,Alzheimer's disease (cognitive decline)
Mez J,CRADD,Alzheimer's disease (cognitive decline)
Mez J,ANO4,Alzheimer's disease (cognitive decline)
Mez J,GPC6,Alzheimer's disease (cognitive decline)
Mez J,MYO16,Alzheimer's disease (cognitive decline)
Mez J,CLMN,Alzheimer's disease (cognitive decline)
Mez J,GABRG3,Alzheimer's disease (cognitive decline)
Mez J,"ALDH1A2,LIPC-AS1,LIPC",Alzheimer's disease (cognitive decline)
Mez J,"LINC01567,TNRC6A",Alzheimer's disease (cognitive decline)
Mez J,VAT1L,Alzheimer's disease (cognitive decline)
Mez J,SP6,Alzheimer's disease (cognitive decline)
Mez J,CACNA1G,Alzheimer's disease (cognitive decline)
Mez J,BCAS3,Alzheimer's disease (cognitive decline)
Mez J,PPIAP59,Alzheimer's disease (cognitive decline)
Mez J,TGM6,Alzheimer's disease (cognitive decline)
Mez J,PARVB,Alzheimer's disease (cognitive decline)
Mez J,HECW1,Alzheimer's disease (cognitive decline)
Mez J,"CD33,SIGLEC22P",Alzheimer's disease (late onset)
Mez J,GPR141,Alzheimer's disease (late onset)
Mez J,CASS4,Alzheimer's disease (late onset)
Mez J,SORL1,Alzheimer's disease (late onset)
Mez J,CR1,Alzheimer's disease (late onset)
Mez J,"NIFKP9,BIN1",Alzheimer's disease (late onset)
Mez J,CD2AP,Alzheimer's disease (late onset)
Mez J,EPHA1-AS1,Alzheimer's disease (late onset)
Mez J,CLU,Alzheimer's disease (late onset)
Mez J,"MS4A2,LINC02705",Alzheimer's disease (late onset)
Mez J,"LINC02695,RNU6-560P",Alzheimer's disease (late onset)
Mez J,ABCA7,Alzheimer's disease (late onset)
Mez J,INPP5D,Alzheimer's disease (late onset)
Mez J,MEF2C-AS1,Alzheimer's disease (late onset)
Mez J,ZCWPW1,Alzheimer's disease (late onset)
Mez J,CELF1,Alzheimer's disease (late onset)
Mez J,FERMT2,Alzheimer's disease (late onset)
Mez J,"HLA-DRB1,HLA-DQA1",Alzheimer's disease (late onset)
Mez J,PTK2B,Alzheimer's disease (late onset)
Mez J,SLC24A4,Alzheimer's disease (late onset)
Mez J,"RPL23AP22,LINC01031",Alzheimer's disease (late onset)
Mez J,"LINC02360,HS3ST1",Alzheimer's disease (late onset)
Mez J,SQSTM1,Alzheimer's disease (late onset)
Mez J,"TREM2,TREML2",Alzheimer's disease (late onset)
Mez J,NDUFAF6,Alzheimer's disease (late onset)
Mez J,"ECHDC3,USP6NL-AS1",Alzheimer's disease (late onset)
Mez J,AP2A2,Alzheimer's disease (late onset)
Mez J,"ADAMTS20,EEF1A1P17",Alzheimer's disease (late onset)
Mez J,"IGHV2-70,IGHV3-71",Alzheimer's disease (late onset)
Mez J,SPPL2A,Alzheimer's disease (late onset)
Mez J,TRIP4,Alzheimer's disease (late onset)
Mez J,"SCIMP,ZNF594-DT",Alzheimer's disease (late onset)
Mez J,-,Alzheimer's disease (late onset)
Mez J,"MTCYBP27,RNU6-976P",Alzheimer's disease
Mez J,"CD33,SIGLEC22P",Alzheimer's disease
Mez J,TOMM40,Alzheimer's disease
Mez J,"BIN1,NIFKP9",Alzheimer's disease (late onset)
Mez J,MS4A4A,Alzheimer's disease (late onset)
Mez J,CR1,Alzheimer's disease (late onset)
Mez J,CLU,Alzheimer's disease (late onset)
Mez J,"PICALM,RNU6-560P",Alzheimer's disease (late onset)
